#node1,node2,combined_score
AGER,CLDN18,0.509
AGER,PTGS2,0.448
AGER,SFTPA2,0.623
AGER,SFTPA1,0.722
ANGPTL1,OGN,0.471
ASPM,DLGAP5,0.994
ASPM,KIF23,0.987
ASPM,DEPDC1B,0.651
ASPM,NUF2,0.98
ASPM,SPC25,0.852
ASPM,E2F7,0.724
ASPM,KIF14,0.963
ASPM,DEPDC1,0.861
ASPM,TTK,0.957
CHGA,ISL1,0.454
CHGA,SCG3,0.99
CLDN18,SFTPA2,0.425
CLDN18,AGER,0.509
CLDN18,SFTPA1,0.572
CNTNAP2,SCN8A,0.473
CNTNAP2,ELAVL4,0.407
CNTNAP2,GAD1,0.44
CPB2,HPGD,0.437
CXCL5,PTGS2,0.56
CXCL5,PPBP,0.833
DEPDC1,DLGAP5,0.881
DEPDC1,KIF23,0.865
DEPDC1,DEPDC1B,0.798
DEPDC1,NUF2,0.898
DEPDC1,SPC25,0.756
DEPDC1,E2F7,0.425
DEPDC1,KIF14,0.873
DEPDC1,ASPM,0.861
DEPDC1,TTK,0.931
DEPDC1B,DLGAP5,0.878
DEPDC1B,KIF23,0.654
DEPDC1B,SPC25,0.573
DEPDC1B,TTK,0.62
DEPDC1B,ASPM,0.651
DEPDC1B,DEPDC1,0.798
DEPDC1B,NUF2,0.81
DEPDC1B,KIF14,0.822
DLGAP5,E2F7,0.565
DLGAP5,SPC25,0.854
DLGAP5,DEPDC1B,0.878
DLGAP5,DEPDC1,0.881
DLGAP5,KIF14,0.933
DLGAP5,KIF23,0.951
DLGAP5,NUF2,0.964
DLGAP5,TTK,0.977
DLGAP5,ASPM,0.994
DLX6,GAD1,0.634
E2F7,DLGAP5,0.565
E2F7,KIF23,0.604
E2F7,NUF2,0.461
E2F7,DEPDC1,0.425
E2F7,KIF14,0.448
E2F7,TTK,0.579
E2F7,ASPM,0.724
ELAVL4,CNTNAP2,0.407
FCER1A,PPBP,0.436
GAD1,ISL1,0.472
GAD1,SLC6A4,0.517
GAD1,POU3F2,0.412
GAD1,SP8,0.408
GAD1,POU4F1,0.408
GAD1,CNTNAP2,0.44
GAD1,DLX6,0.634
GNG11,GNG4,0.986
GNG4,GNG11,0.986
